character,dialogue,episode,line
Threepio,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!,4,1
Threepio,We're doomed!,4,2
Threepio,There'll be no escape for the Princess this time.,4,3
Threepio,What's that?,4,4
Threepio,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...,4,5
Luke,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!,4,6
Threepio,"Artoo! Artoo-Detoo, where are you?",4,7
Threepio,At last!  Where have you been?,4,8
Threepio,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!,4,9
Threepio,"Wait a minute, where are you going?",4,10
Imperial Officer,The Death Star plans are not in the main computer.,4,11
Vader,Where are those transmissions you intercepted?,4,12
Rebel Officer,We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.,4,13
Vader,If this is a consular ship... where is the Ambassador?,4,14
Vader,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!",4,15
Trooper,There she is! Set for stun!,4,16
Trooper,She'll be all right. Inform Lord Vader we have a prisoner.,4,17
Threepio,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure..",4,18
Threepio,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you.",4,19
Threepio,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!,4,20
Threepio,I'm going to regret this.,4,21
Chief Pilot,There goes another one.,4,22
Captain,Hold your fire.  There are no life forms.  It must have been short-circuited.,4,23
Threepio,"That's funny, the damage doesn't look as bad from out here.",4,24
Threepio,Are you sure this things safe?,4,25
Woman,I've told you kids to slow down!,4,26
Fixer,Did I hear a young noise blast through here?,4,27
Camie,It was just Wormie on another rampage.,4,28
Luke,Shape it up you guys!...  Biggs?,4,29
Luke,I didn't know you were back!  When did you get in?,4,30
Biggs,"Just now.  I wanted to surprise you, hot shot.  I thought you'd be here... certainly didn't expect you to be out working. ",4,31
Luke,"The Academy didn't change you much... but you're back so soon?  Hey, what happened, didn't you get your commission?",4,32
Biggs,Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.,4,33
Luke,I almost forgot.  There's a battle going on!  Right here in our system.  Come and look!,4,34
Deak,Not again!  Forget it.,4,35
Luke,There they are!,4,36
Biggs,"That's no battle, hot shot... they're just sitting there!  Probably a freighter-tanker refueling.",4,37
Luke,But there was a lot of firing earlier...,4,38
Luke,"Hey, easy with those...",4,39
Camie,"Don't worry about it, Wormie.",4,40
Fixer,"I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing...",4,41
Leia,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic...",4,42
Vader,"Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you.",4,43
Leia,I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...,4,44
Vader,You're a part of the Rebel Alliance... and a traitor.  Take her away!,4,45
